날짜,불면증,CAI,0.18640853,0.041815527
2021-01-03,62,54,0.18640853,
2021-01-10,65,130,,
2021-01-17,100,69,,
2021-01-24,71,65,,
2021-01-31,57,77,,
2021-02-07,52,147,,
2021-02-14,77,105,,
2021-02-21,87,90,,
2021-02-28,75,61,,
2021-03-07,78,141,,
2021-03-14,74,164,,
2021-03-21,53,127,,
2021-03-28,65,138,,
2021-04-04,51,67,,
2021-04-11,55,77,,
2021-04-18,58,90,,
2021-04-25,48,67,,
2021-05-02,68,182,,
2021-05-09,78,72,,
2021-05-16,55,49,,
2021-05-23,75,100,,
2021-05-30,66,71,,
2021-06-06,72,79,,
2021-06-13,72,63,,
2021-06-20,56,69,,
2021-06-27,70,60,,
2021-07-04,38,56,,
2021-07-11,56,57,,
2021-07-18,47,54,,
2021-07-25,53,66,,
2021-08-01,49,49,,
2021-08-08,64,58,,
2021-08-15,53,51,,
2021-08-22,41,55,,
2021-08-29,46,56,,
2021-09-05,49,51,,
2021-09-12,66,48,,
2021-09-19,58,52,,
2021-09-26,75,45,,
2021-10-03,74,48,,
2021-10-10,80,43,,
2021-10-17,65,54,,
2021-10-24,73,65,,
,50,,0.18640853,
,73,,,
,50,,,
